Timestamp,Question,Status
2025-11-17 21:41:46,Hi,Answered
2025-11-17 21:42:02,What is a change?,Answered
2025-11-17 21:42:25,Why rollback plan is necessary?,Unanswered
2025-11-17 21:42:57,Why rollback plan is required?,Unanswered
2025-11-17 21:46:03,Why rollback plan is required?,Answered
2025-11-17 21:54:15,Hi,Answered
2025-11-17 21:55:04,Hello,Answered
2025-11-17 21:57:01,Why rollback plan is necessary?,Answered
2025-11-17 22:03:06,"What is a CAB, who is responsible for cab?",Answered
2025-11-18 19:42:27,Hi,Answered
2025-11-18 19:44:59,Hi,Answered
2025-11-18 19:45:25,what is cab?,Answered
2025-11-18 19:46:01,provide the details of different types of users,Unanswered
2025-11-18 19:48:18,Show me a data in table format,Answered
2025-11-18 19:50:50,types of users or approvers in table format,Answered
2025-11-18 19:56:38,Show me a data in table format,Answered
2025-11-18 19:58:23,what is a data?,Unanswered
2025-11-18 20:05:05,show me 5 templates in table format,Unanswered
2025-11-18 20:06:43,templates in table format,Answered
2025-11-18 20:13:25,Hi,Answered
2025-11-18 20:14:41,change,Unanswered
2025-11-18 20:14:51,what is a change?,Answered
2025-11-19 20:17:52,Hi,Answered
2025-11-18 21:52:40,HI,Answered
2025-11-18 21:52:59,what is a change?,Answered
2025-11-18 21:55:15,give a table,Answered
2025-11-18 22:02:57,Hi,Answered
2025-11-18 22:15:38,Hi,Answered
2025-11-18 22:31:40,Hi,Answered
2025-11-18 22:41:38,change,Unanswered
2025-11-18 22:41:52,is change good?,Unanswered
2025-11-18 22:42:14,why cab is required?,Answered
2025-11-18 22:46:56,What is the rule for Level 1 escalations?,Unanswered
2025-11-18 22:47:24,Definition of an Emergency Change,Answered
2025-11-18 22:48:05,steps for Raising an Emergency Change,Answered
2025-11-18 22:48:48,explain me Asset Protection policy,Answered
2025-11-18 22:50:43,provide me the overview of all policies,Answered
2025-11-18 22:51:30,SOP Summaries,Unanswered
2025-11-18 22:52:28,List of major sections in sop,Answered
2025-11-18 22:54:15,I’m doing a database patch on production.,Answered
2025-11-18 22:55:19,Teach me the change management lifecycle.,Answered
2025-11-18 23:08:14,Hi,Answered
2025-11-18 23:23:41,Hi,Answered
2025-11-18 23:26:39,Hi,Answered
2025-11-21 23:13:24,Hi,Answered
2025-11-21 23:13:37,Hi,Answered
2025-11-21 23:14:21,How many changes were rejected last month?,Unanswered
2025-11-21 23:25:44,show me the changes in closed state,Unanswered
2025-11-21 23:34:14,show me the changes in closed state,Answered
2025-11-21 23:43:20,What is the SLA policy,Answered
2025-11-21 23:50:57,what is policy?,Answered
2025-11-21 23:53:56,proporcionar los detalles de los diferentes tipos de usuarios,Answered
2025-11-21 23:55:00,Zeig mir 5 Vorlagen im Tabellenformat,Answered
2025-11-21 23:56:07,Muéstrame los gráficos de riesgo.,Answered
2025-11-22 00:13:17,what is a change?,Answered
2025-11-22 00:13:43,what is a change?,Answered
2025-11-22 01:06:03,Show me the changes by priority.,Answered
2025-11-22 01:06:20,Show me the changes by priority.,Answered
2025-11-22 01:07:58,Show me changes by Risk.,Answered
2025-11-22 01:08:30,Show me changes by Priority.,Answered
2025-11-22 01:09:33,Visualize the risk distribution.,Answered
2025-11-22 01:14:08,Visualize the risk distribution.,Answered
2025-11-22 22:22:37,priority visual,Answered
2025-11-22 22:26:57,why rollback is required?,Answered
2025-11-22 22:28:03,provide the details of different types of users,Answered
2025-11-22 22:29:14,users of change requests,Answered
2025-11-22 22:30:10,suggest template for the activity database migration,Answered
2025-11-22 23:30:42,why a change is required?,Answered
2025-11-22 23:31:37,explain me about cab and cab process,Answered
2025-11-22 23:44:21,Write email about upgrade,Answered
2025-11-22 23:46:34,Write email about upgrade,Answered
2025-11-22 23:47:44,Write email about maintenance,Answered
2025-11-22 23:52:23,Write email about a new change,Answered
2025-11-22 23:52:57,Write email about a new installation,Answered
2025-11-22 23:53:40,Write email for installation notification,Answered
2025-11-23 01:43:15,Team workload chart,Answered
2025-11-23 01:50:46,Show me changes by assignee,Answered
2025-11-23 01:51:11,Show approval rates,Answered
2025-11-23 02:08:23,create a change for adding new user to database,Answered
2025-11-23 02:10:33,how can we raise a change request?,Answered
2025-11-23 02:11:03,what are the required details to create a change,Answered
2025-11-23 02:11:34,Explicar sobre la cabina,Answered
2025-11-23 02:12:41,Explícame todo sobre CAB,Answered
2025-11-23 20:11:46,What is the airspeed velocity of an unladen swallow?,Answered
2025-11-23 20:21:20,hi,Answered
2025-11-23 20:28:15,hi,Answered
2025-11-23 20:36:56,What is the capital of Mars?,Answered
2025-11-23 21:02:38,What is a change request?,Answered
2025-11-23 21:03:43,What is the capital of Mars?,Answered
2025-11-23 21:19:45,where is kerala?,Answered
2025-11-23 21:31:46,Show me approval rate,Answered
2025-11-23 21:32:33,Display changes by priority,Answered
2025-11-23 21:32:58,Emergency changes vs planned changes,Answered
2025-11-23 21:46:57,Who has the most changes?,Answered
